,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
2898,Mary Johnston Turner,Containers/PKS,she recently published on container priorities trying to tease out how general cloud management and emerging devops container management priorities were or were not converging interesting in light of olympus there was a question that said so what are your top container management priorities  for devops organizations the 2 priority was managing the cost and lifecycle of the container infrastructure which clearly includes what cloudhealth does for those responsible for managing the production of a containerized application their 1st choice was to increase use of automation but 2 was managing the cost of lifecycle container infrastructure she thinks we are onto something by including cloud health in the conversation that this is a differentiator cost and governance pieces are not usually as closely integrated into the container  kubernetes stack she is ore likely to see solutions like wavefront and service mesh the lifecycle  stuff she believes theres a real opportunity to differentiate with cloud health but the message would be strengthened if all of vmwareare talked about it,7/23/2019,Advice,Messaging,2019.2,FY20 Q2
2899,Mary Johnston Turner,Containers/PKS,sees olympus going headtohead with ibmredhat open shift as they announced os 40 at the redhat summit she thinks they plan to go headtohead with anthos which would also put them competing with olympus the move to ibm will bring its own flavor of multicloud management,7/23/2019,Neutral,Competitive mentions/intel,2019.2,FY20 Q2
2900,Andrew Garver,Workspace ONE,this is a great milestone in reply to a note we sent out on workspace one customers deploying 1m windows 10 devices in the h1 of 2019,7/23/2019,Positive,Adoption,2019.2,FY20 Q2
2901,Manjunath Bhat,Workspace ONE,great to see the growth in reply to a note we sent out on workspace one customers deploying 1m windows 10 devices in the h1 of 2019,7/23/2019,Positive,Adoption,2019.2,FY20 Q2
2902,Shannon Kalvar,Workspace ONE,great news  this is actually slightly ahead of the adoption predictive model i built out based off the last analyst dayill go in and adjust in reply to a note we sent out on workspace one customers deploying 1m windows 10 devices in the h1 of 2019,7/23/2019,Positive,Adoption,2019.2,FY20 Q2
2903,Andrew Hewitt,Workspace ONE,awesome stats  and thanks for sharing this is useful for my modern management report,7/23/2019,Positive,Adoption,2019.2,FY20 Q2
2904,Lydia Leong,Cloud (VCPP),hybrid cloud as a platform messaging leaves big questions on how you intend to do thiseveryone wants the solution to this issue of cloud portability inherently everyone will be interested but it will depend on practical reality,7/22/2019,Neutral,Messaging,2019.2,FY20 Q2
2905,Lydia Leong,Cloud (VCPP),you are trying to present a variety of tools in one integrated console,7/22/2019,Neutral,Features or products (included/missing/recommended),2019.2,FY20 Q2
2906,Lydia Leong,Cloud (VCPP),i think the notion of getting more integrated is good i think this story will appeal to existing loyal vmwareare customers who are dealing with demands and locked down environments,7/22/2019,Positive,Messaging,2019.2,FY20 Q2
2907,Lydia Leong,Cloud (VCPP),your audience at vmwareorld is much more likely to embrace this story they want to know what a good cloud operations looks like how do i implement it and how is it different than on prem your answer is you will modify things but dont change things much from on prem,7/22/2019,Positive,Messaging,2019.2,FY20 Q2
2908,Lydia Leong,Cloud (VCPP),how do i demonstrate expert implementations with my correct level of knowledge   using best practiceshow do i derisk this migrationyoull still see some folks who dont want the assumption that all go to the cloud,7/22/2019,Neutral,Messaging,2019.2,FY20 Q2
2909,Mike Dorosh,Cloud (VCPP),hybrid cloud as a platform messaging i think a 13 of the market this will be appealing to them where they are at hybrid platform   none of this fixes the problem,7/19/2019,Neutral,Messaging,2019.2,FY20 Q2
2910,Mike Dorosh,Cloud (VCPP),this is where you needed to go not surprised it is the operating stack for the cloudi like the idea of a console,7/19/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2911,Mike Dorosh,Cloud (VCPP),distributed cloud idea   1 service provider technology in all delivery factorsi like the idea of distributed hybrid  you are the underpinnings of hybrid,7/19/2019,Positive,Messaging,2019.2,FY20 Q2
2912,Mike Dorosh,Cloud (VCPP),need to include messaging about this isnt throwing away what you have you will leverage what you have we are getting more serious about extending to the cloud,7/19/2019,Advice,Messaging,2019.2,FY20 Q2
2913,Mike Dorosh,Cloud (VCPP),i like the personabased messaging i applaud you of going after the developerbased persona i dont think you are missing any personas i like the overall messaging i dont have any challenges here this is a good start,7/19/2019,Positive,Messaging,2019.2,FY20 Q2
2914,Mike Dorosh,Cloud (VCPP),be careful the word hybrid isnt a negative differentiate it use more positive words around hybrid   very useful or suboptimal experiencewe gartner see hybrid as a continuum  we generally invent new words careful with course correction in a paradigm danger in focusing on newness you dont want to give customers the impression that what you sold them was a mistakehybrid is more as an operating platform,7/19/2019,Advice,Messaging,2019.2,FY20 Q2
2915,Mike Dorosh,Cloud (VCPP),i like the cell phone metaphor be careful on not demonizing how we got here because we are all responsible for where we are,7/19/2019,Advice,Messaging,2019.2,FY20 Q2
2916,Mike Dorosh,Cloud (VCPP),mulicloud   no problem with this as a term its a subset of hybrid some use hybrid and multicloud interchangeably regarding multicloud as a subset of hybrid cloud hybrid is a little of this little of that using onpremise it hosted private cloud public cloud multicloud is using more than one public cloud as an endpoint multiple vendors on a public cloud side with hybrid it becomes multicloud,7/19/2019,Neutral,Messaging,2019.2,FY20 Q2
2917,Mike Dorosh,Cloud (VCPP),edge ai etc   contextualizing for 3layer stack lengths for customers third part of those who are still avoiding to go to the clouddont sell futures too hard for every customer talking about edge there are five figuring out how to deal with their data centersavvy messenger is one who recognizes where the customer is on level of adoption,7/19/2019,Advice,Customer Related,2019.2,FY20 Q2
2918,Mike Dorosh,Cloud (VCPP),featuresfunctions   business value is what is working for business not just featuresfunctions achieving goal through value statements customers are reacting to long feature risks  need to connect it to higherlevel valuetargeted initially to large enterprise,7/19/2019,Advice,Features or products (included/missing/recommended),2019.2,FY20 Q2
2919,Mike Dorosh,Cloud (VCPP),be careful of what you throw away   still relevantcustomer may think i know eventually i need to invest in more native skillswhen you test this with customers half of them will say what took you so long,7/19/2019,Advice,Customer Related,2019.2,FY20 Q2
2920,Mike Dorosh,Cloud (VCPP),please make sure you message your service provider vcpp partners before vmwareorld because this will scare themservice providers think they are coming after the stuff i built in my businessyour message this should make it easier to build and add,7/19/2019,Advice,Partner readiness,2019.2,FY20 Q2
2921,Mike Dorosh,Cloud (VCPP),great start i expected this from you next two years will be make or break to see if this makes outcommonality has to win i see huge opportunities for your service providers adding  their public cloud to vmwarearelarge it customers will love this as wellat vmworld à value of this stated simply is important and not just features and functions,7/19/2019,Positive,Messaging,2019.2,FY20 Q2
2922,William Fellows,VMC on AWS,the take away is momentum acceleration and progression is great the pace and speed makes it easy to miss something so definitely keep us posted,7/19/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2923,Neil MacDonald,Security,zerotrust is a return to basics  doesnt address monitoring,7/18/2019,Negative,Messaging,2019.2,FY20 Q2
2924,Neil MacDonald,Security,vmwareare is a poster child for microsegmentation but it is expensive,7/18/2019,Neutral,Messaging,2019.2,FY20 Q2
2925,Neil MacDonald,Security,vmwareare firewall ips ab is not wellknown  vmware is not known as a security vendor at all  no consistent message across vmware that connects network and devices,7/18/2019,Negative,Messaging,2019.2,FY20 Q2
2926,Dennis Smith,All Products,vmwareorld should be vmwares opportunity to clarify all of the recent acquisitions and clearly articulate how this all fits together and will benefit customers in the long run there is some customer confusion as to how all of the pieces fit together,7/17/2019,Advice,Messaging,2019.2,FY20 Q2
2927,Dennis Smith,All Products,cloud agnostic developer services is being debated heavily within gartner  if vmwareare can abstract complexity without compromising innovation this is a big win for vmware  there are no clear leaders in this space yet,7/17/2019,Advice,Features or products (included/missing/recommended),2019.2,FY20 Q2
2928,Dennis Smith,Bitnami,customers do not fully understand bitnami yet  not clear about how it fits in the vmwareare portfolio and how they will benefit from the acquisition  dennis is supportive of this acquisition but encourages us to develop very clear messaging on the benefits of bitnami as well as what bitnami can do for customers,7/17/2019,Advice,Messaging,2019.2,FY20 Q2
2929,Dennis Smith,Bitnami,dennis is very positive on using bitnami for a storefront where developers can modify to build revenue streams for their projects   independent of aws  many developers prefer flexibility and an opportunity to grow what they are working on vs being part of an aws catalog,7/17/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2930,Dennis Smith,Cloud (VCPP),red hat announcement by ibm is taking up a lot of the current oxygen  vmwareare needs to take back the conversation,7/17/2019,Advice,Messaging,2019.2,FY20 Q2
2931,Dennis Smith,CloudHealth,cloudhealth is strong not missing a beat  dennis sees pick up with clients and has evaluated 45 very large rfps so far this quarter  leaving the cloudhealth brand was a big positive for vmwareare,7/17/2019,Positive,Messaging,2019.2,FY20 Q2
2932,Dennis Smith,Containers/PKS,pivotal is not doing well  dennis has received lots of calls around pivotal especially from investors  dennis feels that pivotal is arrogant and not really understanding market shifts  lots of prospects are tremendously negative right now,7/17/2019,Negative,Partner readiness,2019.2,FY20 Q2
2933,Dennis Smith,Containers/PKS,dennis is not hearing much from customers about pks  a few curiosity questions but no where near the inquiry he is seeing on customers deploying openshift dennis acknowledged that some of those openshift customers were not happy customers,7/17/2019,Negative,Customer Related,2019.2,FY20 Q2
2934,Dennis Smith,Containers/PKS,dennis was positive around the work vmwareare is doing with openshift,7/17/2019,Positive,Partner readiness,2019.2,FY20 Q2
2935,Dennis Smith,Containers/PKS,kubernetes   dennis is positive on vmwareare doublingdown on native features across cloud providers  it will be key to push a cloud native message going forward  hybrid applications  cloud capability and choice without having to stay with a single cloud vendor  dennis likes that we are targeting solutions vs random feature count,7/17/2019,Advice,Messaging,2019.2,FY20 Q2
2936,Vladimir Galabov,Containers/PKS,one thing i struggle to understand is i thought pks was a pivotal product is the vmwareare component just nsxt are you a reseller of pks or is the pks youre selling different from what pivotal sells wanted to clarify that customers are jointly counted but revenue is split,7/17/2019,Neutral,Partnerships/Dell,2019.2,FY20 Q2
2937,Vladimir Galabov,Containers/PKS,he had questions around our container solutions differentiation which were proactively answered as an analyst he felt vmwareare was late to the containerkubernetes game wanted to understand our differentiation strategy he feels our train consult and develop strategy mirrors redhats thinks it is a great and winning strategy he went to a redhat training and observed he reached the conclusion that this is a really good way to market this software redhat will only ramp this strategy up further as they are seeing it is fruitful to train consult develop,7/17/2019,Positive,Strategy,2019.2,FY20 Q2
2938,Michael Howard,Service Assurance,michael howard on smart assurance you are looking at the whole problem the whole environment this is an amazing product,7/17/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2939,Michael Howard,Service Assurance,michael was positive on the fact that smart assurance can reduce alarms by 95 by filtering out the symptoms and focusing on the root cause,7/17/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2940,Michael Howard,Telco-Cloud,michael said that vmwareare has the biggest set of technology around how the telco network operates of anybody i have seen he mentioned amdocs as a competitor this is the smartest move youve made in the telco space,7/17/2019,Positive,Competitive mentions/intel,2019.2,FY20 Q2
2941,Dennis Smith,All Products,multicloud is big  need tools,7/11/2019,Negative,Strategy,2019.2,FY20 Q2
2942,Dennis Smith,All Products,everyone is talking about hybrid cloud and multicloud  vendors who can define the market clearly will win,7/11/2019,Neutral,Strategy,2019.2,FY20 Q2
2943,Dennis Smith,All Products,vmwareare needs to make the argument for hybridmulticloud  vmware needs to message that vmware can provide horizontal services that enable productivity without complexity of going vertical within a cloud environment,7/11/2019,Advice,Strategy,2019.2,FY20 Q2
2944,Dennis Smith,All Products,hyperscalers are saying that vendors will stifleinhibit innovation  need to counter that message,7/11/2019,Advice,Messaging,2019.2,FY20 Q2
2945,Dennis Smith,All Products,vmwareare needs to knock it out of the park at vmworld  the story needs to come together or vmware will be known for piece parts not a leader in hybrid cloud or multicloud,7/11/2019,Neutral,Messaging,2019.2,FY20 Q2
2946,Dennis Smith,All Products,vmwareare has the right strategy  need to continue executing and hone messaging,7/11/2019,Positive,Messaging,2019.2,FY20 Q2
2947,Dennis Smith,Cloud Services,heightened anticipation on how all of the products fit together  need a cohesive story that analysts and customers can understand  need more than just a catalog,7/11/2019,Advice,Strategy,2019.2,FY20 Q2
2948,Dennis Smith,CloudHealth,cloudhealth is still gaining traction  smart to leave the cloudhealth brand,7/11/2019,Positive,Marketing Awareness,2019.2,FY20 Q2
2949,Dennis Smith,Containers/PKS,seeing less pks than dennis would anticipate  openshift is getting way more traction,7/11/2019,Negative,Marketing Awareness,2019.2,FY20 Q2
2950,Dennis Smith,Containers/PKS,openshift is more than a kubernetes distro,7/11/2019,Neutral,Features or products (included/missing/recommended),2019.2,FY20 Q2
2951,Dennis Smith,Containers/PKS,strength of pks is with pivotal and some functional stuff,7/11/2019,Positive,Strategy,2019.2,FY20 Q2
2952,Dennis Smith,Containers/PKS,tethering pks with vsan and nsx will not go over wwell  heptio pks essentials is what clients are looking for  dont want to lock in with full stack,7/11/2019,Advice,Strategy,2019.2,FY20 Q2
2953,Dennis Smith,Containers/PKS,red hat is calling on developers  vmwareare is calling on io  big difference when it comes to influence,7/11/2019,Neutral,Strategy,2019.2,FY20 Q2
2954,Dennis Smith,Containers/PKS,happy to hear that vmwareare is focused on kubernetes,7/11/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2955,Dennis Smith,Containers/PKS,pks and openshift should not fight over two pieces of bread when there are three cats circling  google aws and microsoft all want to play  vmwareare needs to keey an eye on the bigger prize and not focus just on openshift,7/11/2019,Advice,Strategy,2019.2,FY20 Q2
2956,Dennis Smith,VMC on AWS,good traction with vmc on aws  dr use case is good,7/11/2019,Positive,Use cases,2019.2,FY20 Q2
2957,Dennis Smith,VMC on AWS,aws achilles heel that it is complicated to manage and become functional,7/11/2019,Neutral,Competitive mentions/intel,2019.2,FY20 Q2
2958,Matt KImball,HCI/vSAN,nutanix share of hci systems continues to decline as it has moved to a software subscription model  however nutanix also lagged the market average in terms of hci software sales revenue growth while there are a lot of factors that can contribute to this slower pace nutanix often cites subscriptionbased licensing as a major factor one must wonder if theres more going on here as that lower than average growth is coupled with a roughly 35 drop in market share  comments from nutanix in recent quarters earnings statements demonstrate the company not only lacks a solid enterprise foothold but also lacks the sales infrastructure to viably compete against vmwareare these obstacles can certainly be overcome and im confident nutanix has identified a plan of attack to tackle this issue the question will be whether the company can execute against that plani believe vmware will continue to surge and lean heavily on dell emc to drive that surge  look to nutanix to lean more heavily on its hpe and lenovo relationships to counter that surge  ,7/10/2019,Positive,Competitive mentions/intel,2019.2,FY20 Q2
2959,Al Sadowski,VMC on AWS,when first launched close to 100 vmwareare customers were going to be vmware cloud on aws are there any net new customers are the customers coming to you via vmware sales people partners others regarding freddie mac do you know who you beat out was it only hybrid scenarios or did theylook at full solutions like aws if they are an elite partner with vmware and not an aws partner would that competency be available to that partner id be curious to see sales collateral in comparison on virtustream vs vmware cloud on aws offering,7/9/2019,Neutral,Partner readiness,2019.2,FY20 Q2
2960,Gary Chen,VMC on AWS,partner services around cloud like migration when they include iaas what is their compensation do they get recurring revenue the comparison slide vs azure is really great this is really helpful,7/9/2019,Neutral,Partner readiness,2019.2,FY20 Q2
2961,Jim Scheibmeir,Management (vRealize),mangle fault injection open source tool looks really cool,7/8/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2962,Chase Cunningham,Security ,euc and nsbu teams have decided not to pursue forrester ztx wave participation,7/2/2019,Neutral,Strategy,2019.2,FY20 Q2
2963,Dennis Smith,Secure State,looks good  would love to hear more when you have more customers using this,7/1/2019,Neutral,Adoption,2019.2,FY20 Q2
2964,Mike Leone,Desktop Virtualization,whitepaper speeding digital transformation  emphasize the digital foundation full stack as a differentiatoradd customer needs specifics for each solution whenever possible goal was to provide high level overview for vdi sql oracle sap hana datastax cloudera pks and this outline covers key points,6/27/2019,Positive,Messaging,2019.2,FY20 Q2
2965,Marco Meinardi,Management (vRealize),vision makes sense  its good you built it this way,6/27/2019,Positive,Strategy,2019.2,FY20 Q2
2966,Marco Meinardi,Management (vRealize),i remember the cloud maturity model from cloudhealth  its good,6/27/2019,Positive,Strategy,2019.2,FY20 Q2
2967,Marco Meinardi,Management (vRealize),it makes sense  i dont see a point of two distinct stories but i do understand it,6/27/2019,Neutral,Strategy,2019.2,FY20 Q2
2968,Marco Meinardi,Management (vRealize),for practitioners i would suggest to add brand names under each environment  security compliance is very broad  practitioners need to go a level down,6/27/2019,Advice,Strategy,2019.2,FY20 Q2
2969,Marco Meinardi,Management (vRealize),it sounds like an inside out and also an outside in approach  agree it has different buyers i wouldnt map to the terms as its confusing for clients as they all have their own definition hybrid and multicloud has no universal definition and means different things to different people  maybe use processes like automation even gartner is confused on the definitions and all talking with the same definition is hard  it takes times to become mainstream,6/27/2019,Advice,Strategy,2019.2,FY20 Q2
2970,Mike Matchett,Management (vRealize),very interested in capacity analytics engine,6/27/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2971,Mike Matchett,Management (vRealize),there are competitive products that try to rack and stack  its also about performance of the workload  you look beyond which is good,6/27/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2972,Amresh Nandan,NFV,amresh asked about orchestration ideally you should have a overall resource management orchestrator,6/27/2019,Advice,Features or products (included/missing/recommended),2019.2,FY20 Q2
2973,Amresh Nandan,NFV,interoperability and multivendor integration onto the single nfvi platform was important to amresh,6/27/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2974,Roy Illsley,Desktop Virtualization,but just as vdi was not well understood by enterprise customers in terms of the economics and applicability so the terms daas and workspace as a service waas have created market confusion ovum considers that while some may think the difference between waas and daas to be semantics there are some real differences in the solutions that vendors offer that organizations must weigh up ,6/26/2019,Neutral,Messaging,2019.2,FY20 Q2
2975,Adam Holtby,Workspace ONE,employee experience is a difficult thing to measure and defining metrics that can help businesses understand it will be important capabilities for platforms such as workspace one ,6/26/2019,Advice,Strategy,2019.2,FY20 Q2
2976,Adam Holtby,Workspace ONE,the growing lack of core feature differentiation between leading uem tools in addition to the appeal and inexpensiveness of intune to businesses already on the relevant microsoft enterprise agreements microsoft e3e5 has undoubtedly been a key motivator for vmwareare in broadening the capabilities of its platform providing value beyond the traditional endpoint management use case is going to be important for vmware,6/26/2019,Neutral,Features or products (included/missing/recommended),2019.2,FY20 Q2
2977,Kevin Restivo,Workspace ONE,"key comments	emm market share 2018 was a two horse race between microsoft and vmwareare	with msft adoption is around azure and then they will move to intune in the future for the whole device management piece	customers have an increasing desire to deal with one supplier	idc is finding that jobs havent been shifted yet and in most cases staff have been reimplemented within the business	mobile worker increase of 26 in the next five years increasing to 127m workerso	the discussion around mobile worker was really good and is an opportunity for us to help idc build out their definition moving forward to get beyond the focus on office 365 and have a more holistic definition 	security still seems reactive even though it is cited as a top need",6/26/2019,Neutral,Competitive mentions/intel,2019.2,FY20 Q2
2978,Eric Sheppard,HCI/vSAN,vmwareare remained 1 vendor with 411 share and 66 yoy growth according to idcs 1q2019 worldwide quarterly converged systems tracker  hci market share by software owner,6/26/2019,Positive,Competitive mentions/intel,2019.2,FY20 Q2
2979,Adam Holtby,Workspace ONE,at a recent analyst event vmwareare shared how the companys strategy positioning and gotomarket efforts are shifting and a desire to own the employee experience is the catalyst improving employee experiences is of growing importance for businesses and by offering a broader set of technological capabilities supported by more servicefocused approaches vmware wants to be a partner that helps businesses deliver it delivering on its vision will depend on many factors most notably vmwares success in driving adoption of its workspace one platform horizontally across new business units and on its success in communicating the broader value of the platforms capabilities beyond just endpoint management and virtualization,6/26/2019,Positive,Strategy,2019.2,FY20 Q2
2980,Brad Casemore,Networking,idc wrote a note around vmwareare acquisiton of avi vmwares acquisition of avi networks takes nsx to application layer strengthens vmwares network portfolio for modern apps multicloud ,6/25/2019,Positive,Strategy,2019.2,FY20 Q2
2981,Glenda Morgan,All Products,re classroomasaservice geh solution consider different markets within higher ed eg r1 vs college chicago system offered big classes in data science notably amazon is creating an image for something called jupyter,6/25/2019,Advice,Strategy,2019.2,FY20 Q2
2982,Roy Illsley,Workspace ONE,ovum daas market landscape report highlightsworkspace one is the platform that combines the vmwareare horizon capabilities with a unified endpoint management uem capability from vmware airwatch and vmware identity manager in a single solutionworkspace one eliminates the need for administrators to change configurations by reimaging endpoint devices as it supports remote configuration management based on what vmware calls dynamic smart groupssoftware distribution is another key aspect that consumes it administrators time but workspace one uses scripting tools to automate these operations workspace one has its own set of secure business productivity applications hub boxer content web send verify people and pivd as well as supporting a wide range of thirdparty applications the vmware applications are considered more secure as they are containerized ie enhanced encryption and policies and designed to operate with workspace oneworkspace one uses different attributes to automate access requests to applications and data and these decisions are automated in real time so employees are not waiting for a decision it is a benefit that the authentication context such as authentication method user group network location and device state is used by workspace one when making these access decisionsworkspace one uses uem from airwatch and through apis can connect and manage endpoint devices these apis ensure that even new or yettobereleased devices can be managed providing the vendor adopts the standard use of apis,6/21/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2983,Jeff Becker,All Products,backupdisaster recovery and storage solutions are the leading services drawing hcos to the cloudelastic storage can help with cost savings and cloud also allows for an offsite backup of data,6/21/2019,Neutral,Strategy,2019.2,FY20 Q2
2984,Chris Sherman,IoT,chris cites zero trust architecture as one of the six key elements to enhancing healthcare iot security in best practices medical device security published in may vmwareare cited,6/21/2019,Neutral,Strategy,2019.2,FY20 Q2
2985,Ghassan Abdo,NFV,after a full briefing on smart assurance he expressed positive sentiment toward the solution indicating that it is very comprehensive,6/21/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2986,Karl Whitelock,NFV,ghassan and karl perceive vmwareares smart assurance solution as relatively new and immature compared to other vendors in the space,6/21/2019,Negative,Adoption,2019.2,FY20 Q2
2987,Chase Cunningham,Security,strongest for vmwareare are on the workload side visibility and analytics automation and orchestration and network piece of the zt framework that is 4 out of 7 pillars so you are batting more than 500 there are other pieces of vmware airwatch the end user side of the equation that i need to dive into more on my own,6/21/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2988,Chase Cunningham,Security,specific to the zt side of it vmwareare obviously has a claim in the space   when i think of virtualization and virtual networking vmware is the first name that comes to mind,6/21/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2989,Chase Cunningham,Security,on the context of the strategy side straight up zt piece vmwareare should look at what cisco and symantec has done on their website and public facing materials dont see much of it,6/21/2019,Advice,Marketing Awareness,2019.2,FY20 Q2
2990,Chase Cunningham,Security,on the progress for vmwareare just based on   i would say this is a light year step from where we were a year ago so whatever that is worth well done it is massively different than it was a year ago i would be interested to see when we get into this next evaluation cycle comparingtotally honest where someone was to where they are now  so far yall have been the most different,6/21/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
2991,Craig Lowery,Cloud (VCPP),regarding public cloud infrastructure professional and managed services mq most of what we see in vcpp is not public cloud vcpp is more onprem vs public not everything should move to the public cloud,6/20/2019,Neutral,Strategy,2019.2,FY20 Q2
2992,Craig Lowery,Cloud (VCPP),your vcpp nework is your biggest asset to multicloud  if you can get away from vsphere,6/20/2019,Neutral,Strategy,2019.2,FY20 Q2
2993,Craig Lowery,Cloud (VCPP),regarind public cloud infrastructure professional and managed services mq vmwareare technology gave msps more credit for the mq,6/20/2019,Neutral,Features or products (included/missing/recommended),2019.2,FY20 Q2
2994,Craig Lowery,CloudHealth,your cloudhealth and kubernetes investments are the first differentiation from before and not too closely tied to vsphere,6/20/2019,Neutral,Strategy,2019.2,FY20 Q2
2995,Craig Lowery,IoT,iot is the thing waiting in the wings but its ready vmwareare is investing in the right places there iot and its theirs to lose and vmware can own it,6/20/2019,Advice,Strategy,2019.2,FY20 Q2
2996,Craig Lowery,IoT,iot will be breaking out through an open source platform that everyone agrees on like kubernetes ubiquity is important in this work the open source project will be the inflection point for iot where well see meaningful effort here vs 1off solutions,6/20/2019,Neutral,Strategy,2019.2,FY20 Q2
2997,James Governor,Management (vRealize),nerdiness is good and code stream is a technical sale  good job representing in this way  on one hand we are in a full stack era  on the other hand are the nerdy and new technologies  this came through well and strongly in the code stream demo,6/20/2019,Positive,Messaging,2019.2,FY20 Q2
2998,James Governor,Management (vRealize),term of gitops this was a strong part of the code stream demo  it maps to the concerns of folks looking to start using the systems,6/20/2019,Positive,Messaging,2019.2,FY20 Q2
2999,James Governor,Management (vRealize),vmwareares cloud management strategy does resonate its highlevel and overall it looks like a sensible enterprise burger,6/20/2019,Positive,Messaging,2019.2,FY20 Q2
3000,James Governor,Management (vRealize),suggests looking beyond cloud spend and how you can industrialize it,6/20/2019,Advice,Strategy,2019.2,FY20 Q2
3001,James Governor,Management (vRealize),multicloud is not hugely aspirational for developers  it isnt something they are looking for but others in the business do,6/20/2019,Advice,Messaging,2019.2,FY20 Q2
3002,James Governor,Management (vRealize),overall the cloud management message is good and the functional pieces make sense of what enterprise are looking for suggest looking beyond features and functions  think about who the people are how they do their jobs and how you can help them  align to job roles and what will make their jobs easier,6/20/2019,Advice,Messaging,2019.2,FY20 Q2
3003,Craig Lowery,SDDC (vSphere),hybrid is a goto and i think its a steady waning of vsphere we are entering a postvm world its clear vmwareare is making those changes,6/20/2019,Neutral,Strategy,2019.2,FY20 Q2
3004,Steve Riley,Secure State,i dont think there is going to be a standalone cspm market for very long,6/20/2019,Advice,Marketing Awareness,2019.2,FY20 Q2
3005,Craig Lowery,VMC on AWS,compared to vmc on aws i think the microsoft model vmwareare azure solutions is a superior model because it can more easily scale it makes more sense to me,6/20/2019,Negative,Competitive mentions/intel,2019.2,FY20 Q2
3006,Craig Lowery,VMC on AWS,you have an indirect role and its more prominent now hybrid became more of an issue in the last year so that means vmwareare,6/20/2019,Neutral,Strategy,2019.2,FY20 Q2
3007,Richard Bartley,Secure State,comes down to  palo and those folks are not being clear about the value of it  theyre showing breadth but they dont have the security architecture they are just thinking about filling the gap posture is visibility workload is protection and defenses responses  trying to present it as a story thats how i feel we should be communicating it grounding it in the overall goals buyers,6/19/2019,Neutral,Competitive mentions/intel,2019.2,FY20 Q2
3008,Tom Lintemuth,Security,this is the problem i have with microsegmentation today nobody does the full gamut there is cisco there is sprocket and then there is the host agentbased those areas overlap sometimes but not always,6/19/2019,Neutral,Features or products (included/missing/recommended),2019.2,FY20 Q2
3009,Julia Palmer,Cloud Foundation,regarding the commerical space have you considered a vcf lite with optional nsx or maybe a nsx lite version and include vsan for free what little i do hear from customers about vcf is that they are wary of taking it on they just dont want or think they need the full stack especially nsx vmwareare clearly offers the most complete stack but most customers are just not ready for it,6/18/2019,Neutral,Adoption,2019.2,FY20 Q2
3010,Andrew Lerner,Networking,tactical nuance stuff is always something to keep an eye on  cisco relationship youll probably lose that relationship but you have your own route to market didnt do hardware you could prob get to 10 without hardware but beyond that you will need to have some answer for hardware re avi,6/18/2019,Advice,Strategy,2019.2,FY20 Q2
3011,Andrew Lerner,Networking,you should strongly consider adding aws elb or f5 blps to your management,6/18/2019,Advice,Strategy,2019.2,FY20 Q2
3012,Andrew Lerner,Networking,i think when you do the thing with dell it is gonna have a big impact on the market customers dont expect you to manage switches but they do expect you to go further towards managing and integrating with the underlay than you do today and when you bought arkin i thought that would be enough but it hasnt been,6/18/2019,Advice,Strategy,2019.2,FY20 Q2
3013,Andrew Lerner,Networking,i cant give you an unqualified yes id be blowing smoke there will be a reasonably high percentage of the market that is not ready for this and does not want to consume in this way and is influenced by other vendors that this isnt the right approach so can this succeed with 10 or 20 of the market yes but if you account for 10  20 of the switch ports sold thats ok but for the customers who complained about lack of hardware integration does this offering solve this problem for those customers if they are willing to take the full stack yes but caveat is people like to complain and they dont always want you to fix their complaint people could still buy another way even though you have a way to fix it re tom gs comments on sonic play,6/18/2019,Advice,Strategy,2019.2,FY20 Q2
3014,Andrew Lerner,Networking,when you disrupt i would strongly recommend that you do a lot of influencer outreach not to the cloud admin base that you have  you need to double up triple up your packet pushers network collective the blogosphere of influencers to make sure they understand it youre gonna launch it gonna sound good dell will be behind it will sound good but if people dont understand the material behind it you need to step those efforts up to this point you havent underinvested but i think when disruption occurs they either get it or they dont and when they dont they poo poo it,6/18/2019,Advice,Strategy,2019.2,FY20 Q2
3015,Lawrence Orans,Security,i dont get inquiries about should i go swg or should i go remote browser isolation so it seems to me right now its more of a feature,6/18/2019,Advice,Adoption,2019.2,FY20 Q2
