,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
69,Chris Sherman,Security ,zt is based on enduser interactions all big security vendors are like home depot   have the parts for that  go find it customers believe vmwareare has so much stuff customers dont what to do with it all education opportunity,6/4/2020,Advice,Messaging,2020.2,FY21 Q2
70,Dennis Smith,Tanzu,like the tanzu messaging vmwareare cannot have tanzu become another vcloud air there is lots of curiosity vmware must turn that curiosity into sales vmware cannot deviate again without becoming irrelevant from a strategic player going forward,6/9/2020,Positive,Strategy,2020.2,FY21 Q2
71,Dennis Smith,Containers/PKS,in a gartner survey on strategic partners for containers microsoft azure 37 amazon aws 22 red hat 21 ibm no red hat 12 google 11 vmwareare 9 ,6/9/2020,Neutral,Strategy,2020.2,FY21 Q2
72,Dennis Smith,vSphere 7 with K8s,gartner clients dont get what vmwareare is doing with vsphere with integrated containers messaging problem,6/9/2020,Negative,Messaging,2020.2,FY21 Q2
73,Dennis Smith,Tanzu,there are obvious seams  pivotal doesnt know what vmwareare offers and vmware doesnt know what pivotal offered  need to both get on the same page with customers ,6/9/2020,Negative,Messaging,2020.2,FY21 Q2
74,Dennis Smith,Tanzu,field sales doesnt get the individual pieces into the solution many of his clients exist with existing offerings   openshift etc these are large vmware shops seems as though some get it but most do not need to double down on messaging  especially if you are serious about this market  ,6/9/2020,Negative,Messaging,2020.2,FY21 Q2
75,Dennis Smith,VMC,red hatibm is the only other vendor able to pull together a multicloudhybrid cloud offering vmwareare has to resonate more with customers,6/9/2020,Negative,Competitive mentions/intel,2020.2,FY21 Q2
76,Dennis Smith,Octarine,ma is interesting challenge will be integration of octarine and lastline entities wont organically come together vmware needs to unify quickly container security pieces need to come together nicely ,6/9/2020,Advice,Strategy,2020.2,FY21 Q2
77,Dennis Smith,Tanzu,cloud healthsecure state   coming together is key need to be brought together as things move forward needs to be part of tanzu conversations ,6/9/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
78,Dennis Smith,Management (vRealize),in the tooling space there are two items enabling to reduce costoptimize and 2 security ability to bring both together is going to be key  ,6/9/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
